CRUISEID,EXPOCODE,STNNBR,CASTNO,SAMPNO,DATE,TIME,ISO_DateTime_UTC,LATITUDE,LONGITUDE,BOTTOM_DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDS_FLAG_W,CTDOXY,CTDOXY_FLAG_W,FLOR,FLOR_FLAG_W,NOx,NOx_FLAG_W,NOx_stdev,NOx_STD_FLAG_W,NITRIT_BabLab,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TEMP,TA,TA_FLAG_W
FK180624,33FA20180624,14,1,18,11/7/18,20:43:59,2018-07-12T03:43:59Z,14.00144,-114.9948,4000,79.296,18.9076,34.597,2,25.182,2,0.0671,2,22.44009148,6,0.95756378,2,0.093848415,2,2.148618785,2,0.078329501,2,7.585047,2,25,2281.18,2
FK180624,33FA20180624,19,1,17,13-07-2018,23:11:09,2018-07-14T06:11:09Z,17.9996,-119.00068,4000,125.798,15.2102,34.4534,2,33.19,2,0.2685,2,17.71185869,6,11.10996183,2,0.029707202,2,2.18466704,2,0,2,7.506423,2,25,2281.25,2
FK180624,33FA20180624,19,1,14,13-07-2018,23:11:09,2018-07-14T06:11:09Z,17.99967,-119.00053,4000,170.103,12.9069,34.7318,2,2.818,2,0.0859,2,21.59762431,6,13.85761304,2,0.030775807,6,2.643536654,6,0,6,7.424172,2,25,2282.97,4
FK180624,33FA20180624,9,9,19,9/7/18,21:55:54,2018-07-10T04:55:54Z,13.99978,-110.00044,3700,84.717,17.6925,34.541,2,21.899,2,0.0486,2,23.81,6,0.697640769,2,0.093523691,2,2.300056721,2,0,2,7.5325595,6,25,2283.2,2
FK180624,33FA20180624,5,1,19,5/7/18,5:34:12,2018-07-05T12:34:12Z,14.00007,-105.99943,3000,84.829,18.6825,34.5506,2,35.656,2,0.0391,2,19.68518448,6,0.175810776,2,0.051569973,2,2.061666667,2,0,2,7.569703,2,25,2283.27,2
FK180624,33FA20180624,1,1,22,30-06-2018,6:30:11,2018-06-30T13:30:11Z,13.9929,-101.99558,3000,65.897,22.2271,34.3949,2,148.847,2,0.0793,2,5.003,6,0.018,2,0.839957492,2,1.019935345,2,0.119824505,2,7.846566,2,25,2283.29,2
FK180624,33FA20180624,13,1,20,11/7/18,12:11:35,2018-07-11T19:11:35Z,13.99816,-113.99497,4000,74.655,18.4406,34.6218,2,19.829,2,0.3529,2,26.84578991,6,0.779808037,2,0.045332229,2,2.214723926,2,0,2,7.544127,2,25,2283.41,2
FK180624,33FA20180624,16,1,16,12/7/18,16:51:10,2018-07-12T23:51:10Z,15.00164,-116.997,4138,120.795,14.4924,34.603,2,3.667,2,0.2425,2,21.13201877,6,1.135189227,2,0.007501072,2,2.567264574,2,0.005911216,2,7.440964,2,25,2283.41,6
FK180624,33FA20180624,2,5,23,4/7/18,3:44:47,2018-07-04T10:44:47Z,13.99989,-102.99923,3000,50.506,26.2022,34.2539,2,192.405,2,0.0653,2,0,2,-999,9,0,2,0.233624454,2,0.064306441,2,8.040398,2,25,2283.45,2
FK180624,33FA20180624,15,2,21,12/7/18,7:41:48,2018-07-12T14:41:48Z,14.00308,-115.98968,4250,95.155,17.2793,34.5165,2,11.166,2,0.0777,2,19.78685265,6,0.230813447,2,0.022404136,6,2.295821727,6,0.009746356,6,7.494667,2,25,2283.49,2
FK180624,33FA20180624,7,1,22,5/7/18,20:37:49,2018-07-06T03:37:49Z,14.00005,-108.00006,3000,88.595,18.0526,34.573,2,19.254,2,0.0448,2,22.50047933,6,0.110472736,2,0.08,2,2.17,2,0,2,7.54349,2,25,2283.64,2
FK180624,33FA20180624,15,2,22,12/7/18,7:41:48,2018-07-12T14:41:48Z,14.00321,-115.9896,4250,85.732,19.6699,34.3676,2,91.471,2,0.0783,2,10.29255341,6,0.072909955,2,0.758078414,2,1.379387187,2,0.018592138,2,7.712613,2,25,2284.35,6
FK180624,33FA20180624,9,1,19,6/7/18,11:54:22,2018-07-06T18:54:22Z,14.00074,-110.00064,3700,89.976,16.9431,34.5675,2,12.812,2,0.0359,2,26.04126638,6,0.028154447,2,0.04,6,2.31,6,0,6,7.503398,2,25,2284.45,6
FK180624,33FA20180624,18,2,21,13-07-2018,16:06:21,2018-07-13T23:06:21Z,17.00024,-119.00183,4000,95.125,15.0832,34.4963,2,22.606,2,0.2866,2,24.23,6,0.139,2,0.04441139,2,2.210968103,2,0.005552445,2,7.4765455,6,25,2285.1,2
FK180624,33FA20180624,18,1,20,13-07-2018,13:34:21,2018-07-13T20:34:21Z,17.00254,-119.0005,4000,103.652,14.6027,34.5569,2,15.043,2,0.1758,2,23.3799893,6,0.436504643,2,0,2,2.473978735,2,0.003493314,2,7.452219,2,25,2285.24,2
FK180624,33FA20180624,8,1,21,6/7/18,6:09:54,2018-07-06T13:09:54Z,14.00084,-109.00113,3700,88.025,16.2878,34.6084,2,8.151,2,0.0387,2,23.09080791,6,0.070461818,2,0.01,2,2.39,2,0,2,7.4858085,6,25,2285.42,2
