,Depth,Date,Station,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,Nstar,TA,pH,O2
48,101.249,1673481600000000000,36,17.5,-106.5,13.7218,34.8023,101.88,1026.551528446501,26.100616381275813,2277.0,2.1298224764694527,21.14847564725186,2.1236147817139135,-7.905069194545467,2301.0,7.5309,0.49
49,101.239,1674345600000000000,37,17.5,-106.5,13.4161,34.8128,101.87,1026.6230280552443,26.17156637439507,2279.0,2.129674144053757,21.127521404899586,3.1267562798399107,-6.920508620120616,2302.0,7.533,0.47
50,111.125,1672617600000000000,35,17.5,-106.5,13.5989,34.7902,111.82,1026.6122223415928,26.117094842727738,2278.0,2.129696560160317,20.903705930026856,2.211156219066214,-8.060282813471998,2300.0,7.5274,0.47
51,110.658,1673481600000000000,36,17.5,-106.5,13.4211,34.8089,111.35,1026.6613911516556,26.167973846757377,2278.0,2.129594564851484,20.941666050071692,2.9902751057544226,-7.241571881797624,2301.0,7.5338,0.47
52,111.105,1674345600000000000,37,17.5,-106.5,13.2473,34.8076,111.8,1026.698103780639,26.20231575938965,2279.0,2.1295184148957595,20.707158142898788,3.4479463699840873,-7.017190125449277,2302.0,7.533,0.46
53,120.663,1672617600000000000,35,17.5,-106.5,13.177,34.8,121.42,1026.7496517837196,26.211084625774447,2279.0,2.1294115023473887,20.326279111703247,3.438033793210946,-7.406271132644028,2301.0,7.5303,0.47
54,121.04,1673481600000000000,36,17.5,-106.5,13.0748,34.814,121.8,1026.7829918130053,26.242509450872603,2279.0,2.129342359556346,21.523535329483515,3.6229661278587635,-6.022976295559255,2302.0,7.5346,0.47
55,120.345,1674345600000000000,37,17.5,-106.5,12.9911,34.8168,121.1,1026.7989930740353,26.26141620876774,2280.0,2.129309176661595,21.43554887418264,3.3794345567202977,-6.3539633956825785,2302.0,7.5357,0.47
56,130.418,1672617600000000000,35,17.5,-106.5,13.0117,34.8089,131.24,1026.8340920276387,26.25161095621479,2280.0,2.3605766990286567,21.502986871423122,3.4377510713824107,-9.928489241652974,2301.0,7.5332,0.46
57,130.249,1673481600000000000,36,17.5,-106.5,12.8621,34.8129,131.07,1026.8666439516614,26.284533663709453,2280.0,2.360501868169354,22.261897525494174,3.272089925007018,-9.334042440208469,2302.0,7.535,0.47
58,130.696,1674345600000000000,37,17.5,-106.5,12.8544,34.8143,131.52,1026.8712907167353,26.28716595083256,2279.0,2.3604911865019074,22.524731394385103,3.0578321045555223,-9.285295485089891,2302.0,7.5377,0.45
