,Station,cast,lat,lon,T,S,P,rho,sigma0,DIC,DIP,NO3,NO2,NH4,Nstar,TA,pH,pH_tot,pH_temp,O2,fluor
65,3.0,2.0,13.99934,-104.00082,25.8093,34.2692,49.525,1022.7569289599787,22.546946103011464,2014.7704812236425,0.3248461424141579,-0.01880287334699887,0.01880287334699887,0.024388551466832508,-2.273149727159694,2290.23,7.994014327585822,8.007791,25.0,197.765,0.0875
66,3.0,2.0,13.99931,-104.00082,27.7462,34.0231,11.301,1021.7922139046556,21.744536965389557,1963.829589095857,0.22873190049753925,-0.0004091438497093594,0.0004091438497093594,0.004998378271530426,-0.7547120296890975,2262.6,8.01451376213601,8.056015,25.0,190.921,0.0662
67,4.0,1.0,13.99977,-105.00042,5.5217,34.5404,802.484,1030.9366233533528,27.265856887819382,2347.017249065664,3.4007090383463368,42.235139264303825,0.0,0.0,-9.276205349237562,2352.22,7.5516129731949615,7.333812,25.0,1.64,0.0203
68,4.0,1.0,13.99979,-105.00042,6.1119,34.5408,700.195,1030.3875790216653,27.191404099616193,2338.2293919285157,3.3533122276965543,40.069703226820316,0.0,0.0,-10.683292416324553,2344.82,7.5522725661797665,7.337853,25.0,0.762,0.0165
69,4.0,1.0,13.99972,-105.0006,7.0395,34.5537,597.028,1029.7917158987207,27.076879856796495,2328.0037207225364,3.256777817515328,35.26833843123667,0.0,0.0,-13.940106649008575,2337.51,7.553450836116154,7.346497,25.0,0.694,0.0213
70,4.0,1.0,13.99965,-105.00071,8.06,34.5695,498.174,1029.1968073747316,26.94105403000958,2307.7427269245286,3.105388896563408,32.208205439885866,0.0,0.0,-14.578016905128662,2319.66,7.551435313637825,7.353628,25.0,0.646,0.0246
71,4.0,1.0,13.99952,-105.00084,10.1838,34.6719,353.254,1028.2623178376596,26.67728253789437,2290.2062996557825,2.812347526340606,26.599003807234812,0.7284637587178986,0.0,-14.770092855496989,2311.32,7.558637284242506,7.381075,25.0,0.653,0.0289
72,4.0,1.0,13.9994,-105.00074,10.9012,34.7132,301.11,1027.9294539726927,26.582324876311986,2282.7653295130594,2.7036436394144117,24.783030753272644,1.6429051171490832,0.0,-13.932362360208858,2306.77,7.560392553502963,7.389691,25.0,0.619,0.0305
73,4.0,1.0,13.99931,-105.00075,11.1406,34.7267,279.991,1027.8006475443342,26.549153395420717,2280.2998300558525,2.5779099004563633,25.43556593436796,1.0834487452995754,0.0,-11.827543727634277,2307.75,7.569570523499894,7.400302,25.0,0.634,0.0295
74,4.0,1.0,13.99928,-105.0007,11.4251,34.7494,260.227,1027.6760888842177,26.514272074538667,2271.5887930989047,2.545329872216871,27.07661283645473,0.3126697443635877,0.0,-10.435995374651617,2302.68,7.578262865247646,7.4111145,25.0,0.572,0.0284
75,4.0,1.0,13.99916,-105.00072,11.7467,34.7657,240.141,1027.53737494462,26.46662344005472,2271.7791719433935,2.5401906623013844,26.03544254868767,0.4952127001973284,0.0,-11.212395347937152,2304.45,7.5796570812876185,7.415716,25.0,0.602,0.0311
